nombre;descripcion;precio;imagen;subcategoria
cayena guindillas hacendado;bote 27 g;0,95;https://prod-mercadona.imgix.net/images/e5a8b1f3100f25581e6df71791002309.jpg?fit=crop&h=300&w=300;especias
cayena molida hacendado;bote 55 g;1,15;https://prod-mercadona.imgix.net/images/704af635dafaac6db32e7c04a1a9bedc.jpg?fit=crop&h=300&w=300;especias
cúrcuma hacendado;bote 60 g;1,15;https://prod-mercadona.imgix.net/images/3eeadb33691a64ca2a1d6ccf4d1af188.jpg?fit=crop&h=300&w=300;especias
jengibre molido hacendado;bote 49 g;1,1;https://prod-mercadona.imgix.net/images/1580cd54dd269690a220110c90cc991d.jpg?fit=crop&h=300&w=300;especias
sal de ajo hacendado;bote 130 g;1;https://prod-mercadona.imgix.net/images/dc0ac8fb4a4c2cad7a303531902975c2.jpg?fit=crop&h=300&w=300;especias
ñoras hacendado;paquete 25 g;0,96;https://prod-mercadona.imgix.net/images/3b3d38853884322ba6a20048203acc64.jpg?fit=crop&h=300&w=300;especias
clavo en grano hacendado;bote 42 g;1,1;https://prod-mercadona.imgix.net/images/71b6b1000f2a6edb4ac1345a4bca0ec9.jpg?fit=crop&h=300&w=300;especias
anís en grano hacendado;bote 50 g;0,9;https://prod-mercadona.imgix.net/images/60463f0132d27c1f9330a9ca3275edb1.jpg?fit=crop&h=300&w=300;especias
pimientos choriceros dulces del cristal hacendado;paquete 50 g;1,6;https://prod-mercadona.imgix.net/images/786f1be27f7982aa7bb5713e16114122.jpg?fit=crop&h=300&w=300;especias
piñones hacendado;bote 50 g;2,25;https://prod-mercadona.imgix.net/images/cf87266c8c5b100f50a487cd655f9e8b.jpg?fit=crop&h=300&w=300;especias
sazonador para fajitas hacendado sabor tex-mex;sobre 30 g;0,79;https://prod-mercadona.imgix.net/images/4d5f32b80dae1e458fb4307fbe727ee2.jpg?fit=crop&h=300&w=300;especias
sazonador al horno y microondas pollo al ajo y limón hacendado;caja 2 sobres (60 g);0,95;https://prod-mercadona.imgix.net/images/186159cfdb7771149d90b81b35d3f896.jpg?fit=crop&h=300&w=300;especias
sazonador al horno y microondas pollo y costillas a las hierbas provenzales hacendado;caja 2 sobres (48 g);0,95;https://prod-mercadona.imgix.net/images/d5d6dab2a9218a626019aaa0bbe08c22.jpg?fit=crop&h=300&w=300;especias
sazonador sabor barbacoa hacendado;caja 2 sobres (48 g);0,95;https://prod-mercadona.imgix.net/images/d66841c280ef0fd955a89e1847cdfc1a.jpg?fit=crop&h=300&w=300;especias
preparado para paella con azafrán hacendado;bote 76 g;1,65;https://prod-mercadona.imgix.net/images/c87b86088e4ad56c68bd3d3b880fce60.jpg?fit=crop&h=300&w=300;especias
sazonador para paella con azafrán hacendado;caja 5 sobres (20 g);1,3;https://prod-mercadona.imgix.net/images/4695ee7bfde845eee3447d625b57070e.jpg?fit=crop&h=300&w=300;especias
sazonador para burritos hacendado;sobre 40 g;0,79;https://prod-mercadona.imgix.net/images/e3b68afcc598d5b7e99ec15eaeab9aed.jpg?fit=crop&h=300&w=300;especias
sazonador pollo asado hacendado;bote 92 g;1,05;https://prod-mercadona.imgix.net/images/6144ffe097fe75b40abccdf52c8bc221.jpg?fit=crop&h=300&w=300;especias
sazonador espagueti hacendado;bote 45 g;1,4;https://prod-mercadona.imgix.net/images/e5dfade4cca4e2d58ad0c467223391ab.jpg?fit=crop&h=300&w=300;especias
molinillo sal marina con hierbas hacendado;bote 110 g;1,6;https://prod-mercadona.imgix.net/images/8838278924e621026bba5c109c54beaf.jpg?fit=crop&h=300&w=300;especias
sazonador ensalada hacendado;bote 95 g;1,55;https://prod-mercadona.imgix.net/images/d75eef4fa08c0af39e83827b68a8b10e.jpg?fit=crop&h=300&w=300;especias
sazonador barbacoa hacendado;bote 98 g;1,4;https://prod-mercadona.imgix.net/images/ee22af38e366390c6609fd1d29b598e6.jpg?fit=crop&h=300&w=300;especias
sazonador al horno y microondas pescado a las finas hierbas hacendado;caja 2 sobres (28 g);0,95;https://prod-mercadona.imgix.net/images/79b10be05b8946a2547893d736918984.jpg?fit=crop&h=300&w=300;especias
mayonesa hacendado;bote 500 ml;1;https://prod-mercadona.imgix.net/images/96cd4be5151db66433e34b5c8c684bc1.jpg?fit=crop&h=300&w=300;mayonesa, ketchup y mostaza
mayonesa hacendado;bote 225 ml;0,7;https://prod-mercadona.imgix.net/images/8611192fe31f3ad9f1dbe0849618299c.jpg?fit=crop&h=300&w=300;mayonesa, ketchup y mostaza
mayonesa hacendado;bote 460 ml;1,1;https://prod-mercadona.imgix.net/images/b55284b8757f9ebbc576d6d2af0eb7e5.jpg?fit=crop&h=300&w=300;mayonesa, ketchup y mostaza
mayonesa en sobres individuales hacendado;12 sobres x 20 ml;1;https://prod-mercadona.imgix.net/images/e1c1c981bbd9c1569e11045d271c64da.jpg?fit=crop&h=300&w=300;mayonesa, ketchup y mostaza
mayonesa hellmann's;tarro 475 ml;1,99;https://prod-mercadona.imgix.net/images/4deec73aeb723a5c937308721864e880.jpg?fit=crop&h=300&w=300;mayonesa, ketchup y mostaza
mayonesa hellmann's;tarro 225 ml;1,25;https://prod-mercadona.imgix.net/images/a8b2c0c341c06174fcabde33ed67d8f3.jpg?fit=crop&h=300&w=300;mayonesa, ketchup y mostaza
salsa ligera ligeresa;tarro 475 ml;1,99;https://prod-mercadona.imgix.net/images/e20d31242970737f0f56c6898c2d8028.jpg?fit=crop&h=300&w=300;mayonesa, ketchup y mostaza
salsa ligera ligeresa;tarro 225 ml;1;https://prod-mercadona.imgix.net/images/52b4f9cf479bae72a035a8c87e5b3a21.jpg?fit=crop&h=300&w=300;mayonesa, ketchup y mostaza
salsa ligera ligeresa;bote 430 ml;1,7;https://prod-mercadona.imgix.net/images/79a25688d7c32cd2f253df2b762c8422.jpg?fit=crop&h=300&w=300;mayonesa, ketchup y mostaza
mayonesa ybarra;bote 500 ml;1,6;https://prod-mercadona.imgix.net/images/d8f8906534d4e4e8a194ea3ea53d01c4.jpg?fit=crop&h=300&w=300;mayonesa, ketchup y mostaza
salsa fina kraft;tarro 430 ml;1,15;https://prod-mercadona.imgix.net/images/d441a7bdce159cab23cd875589a12068.jpg?fit=crop&h=300&w=300;mayonesa, ketchup y mostaza
mayonesa musa;tarro 540 ml;1,65;https://prod-mercadona.imgix.net/images/be2814de880df307465e039912534049.jpg?fit=crop&h=300&w=300;mayonesa, ketchup y mostaza
salsa ligera hacendado;tarro 500 ml;1;https://prod-mercadona.imgix.net/images/df1b71803ca9ce92f40aeb74c234a680.jpg?fit=crop&h=300&w=300;mayonesa, ketchup y mostaza
salsa ligera hacendado;tarro 225 ml;0,7;https://prod-mercadona.imgix.net/images/406a42119200b9cc7b467632320758d2.jpg?fit=crop&h=300&w=300;mayonesa, ketchup y mostaza
salsa ligera hacendado;bote 460 ml;1,1;https://prod-mercadona.imgix.net/images/5e0c902d69b4c16ed124e230a9ad62fc.jpg?fit=crop&h=300&w=300;mayonesa, ketchup y mostaza
ketchup hacendado;bote 600 g;0,8;https://prod-mercadona.imgix.net/images/d885686e0d509f6f5c71c8970a75f9f5.jpg?fit=crop&h=300&w=300;mayonesa, ketchup y mostaza
ketchup en sobres individuales hacendado;12 sobres x 20 g;0,9;https://prod-mercadona.imgix.net/images/3fc6fdc9a1d193f609ab69e84f56c7cd.jpg?fit=crop&h=300&w=300;mayonesa, ketchup y mostaza
ketchup heinz;bote 570 g;2,35;https://prod-mercadona.imgix.net/images/92db1df1b680751776c32ac8d08aae43.jpg?fit=crop&h=300&w=300;mayonesa, ketchup y mostaza
ketchup tomato develey;bote 450 g;1,35;https://prod-mercadona.imgix.net/images/8e36250ec6693e03af31a28a52adfa7e.jpg?fit=crop&h=300&w=300;mayonesa, ketchup y mostaza
ketchup light hacendado;bote 600 g;1;https://prod-mercadona.imgix.net/images/dd097a5fd8cc73aea8c786688c3b0b4e.jpg?fit=crop&h=300&w=300;mayonesa, ketchup y mostaza
mostaza dulce hacendado;bote 330 g;0,8;https://prod-mercadona.imgix.net/images/b7750e23b4be71f33950cacffb1f1791.jpg?fit=crop&h=300&w=300;mayonesa, ketchup y mostaza
mostaza hacendado;bote 330 g;0,68;https://prod-mercadona.imgix.net/images/922d4b9b2988edbca3995c5aac462dbc.jpg?fit=crop&h=300&w=300;mayonesa, ketchup y mostaza
mostaza a la antigua hacendado;tarro 200 g;0,9;https://prod-mercadona.imgix.net/images/5f0836b8ae9dde88e3b78a16b6208370.jpg?fit=crop&h=300&w=300;mayonesa, ketchup y mostaza
mostaza de dijon hacendado;tarro 200 g;0,9;https://prod-mercadona.imgix.net/images/4334494341409213b190f94f81e8baa5.jpg?fit=crop&h=300&w=300;mayonesa, ketchup y mostaza
allioli chovi;tarrina 180 ml;1,09;https://prod-mercadona.imgix.net/images/f4b934e4fe3d9b33d33e45635ef63b83.jpg?fit=crop&h=300&w=300;mayonesa, ketchup y mostaza
allioli chovi;sobre 63 ml;0,44;https://prod-mercadona.imgix.net/images/c0ce81b6541982f642363f53d1af3f2a.jpg?fit=crop&h=300&w=300;mayonesa, ketchup y mostaza
allioli hacendado;tarrina 200 ml;0,7;https://prod-mercadona.imgix.net/images/1c56fdcc5747e9d07fb22819997661ac.jpg?fit=crop&h=300&w=300;mayonesa, ketchup y mostaza
allioli en sobres individuales hacendado;8 sobres x 20 ml;1,2;https://prod-mercadona.imgix.net/images/d38078bc01cf9b99892b196721284df2.jpg?fit=crop&h=300&w=300;mayonesa, ketchup y mostaza
tomate frito hacendado;3 bricks x 400 g;0,9;https://prod-mercadona.imgix.net/images/9d043c39aa3ce18574312aeefe4ad92b.jpg?fit=crop&h=300&w=300;otras salsas
